record_id	priority	decision	source_type	title	year	doi	url	species	cell_type	stage	medium_focus	dose_or_quant	endpoints	why_included	review_status
R001	P1	context	review	Cell culture media for cultivated meat: Review and perspectives on first principles design to drive cost-effective scale-up	2026	10.1016/j.fufo.2026.100908	https://www.sciencedirect.com/science/article/pii/S2666833526000109	multiple	satellite cells; adipocytes	multiple	serum-free medium; cost-effective scale-up; first-principles design	yes, review-level cost ranges	cost; proliferation; differentiation	Recent medium-specific review; frames medium as major cost driver and supports first-principles scope.	needs_full_text_check
R002	P1	context	review	Rational design of serum-free media for cultivated meat	2026	10.1038/s44222-026-00428-4	https://www.nature.com/articles/s44222-026-00428-4	multiple	multiple	multiple	serum-free medium; multi-omics; computational modeling	unknown	cost; cell-line-specific medium design	Recent Nature Reviews Bioengineering article directly aligned with rational SFM design.	needs_full_text_check
R003	P1	context	review	Technological Advances and the Challenges for Large-Scale Cultured Meat Production	2026	10.1146/annurev-food-053124-085815	https://www.annualreviews.org/content/journals/10.1146/annurev-food-053124-085815	multiple	multiple	multiple	medium formulations; scale-up; bioreactors; tissue formation	review-level	challenges; safety; scale-up	Authoritative overview; helps keep bioreactor/scaffold topics out of first medium-only round.	needs_full_text_check
R004	P1	context	review	Advances and Challenges in Cell Biology for Cultured Meat	2024	10.1146/annurev-animal-021022-055132	https://www.annualreviews.org/content/journals/10.1146/annurev-animal-021022-055132	multiple	stem cells; satellite cells	multiple	proliferation; differentiation; cell-biomaterial interactions	review-level	proliferation; differentiation; identity	Authoritative cell-biology review; supports preserving myogenic identity as a gate.	needs_full_text_check
R005	P1	context	review	Exploring cost reduction strategies for serum free media development	2024	10.1038/s41538-024-00352-0	https://www.nature.com/articles/s41538-024-00352-0	multiple	multiple	expansion	serum-free media; growth factors; recombinant proteins; basal media; recycling	yes, cost contributions	cost; proliferation	Core cost-reduction review; supports focusing on FGF2, albumin, insulin/transferrin, basal media, recycling later.	needs_full_text_check
R006	P1	context	review	Considerations for the development of cost-effective cell culture media for cultivated meat production	2021	10.1111/1541-4337.12678	https://pubmed.ncbi.nlm.nih.gov/33325139/	multiple	muscle cells	multiple	food-grade; low-cost; proliferation and differentiation; animal-free	review-level	cost; food-grade; proliferation; differentiation	Foundational medium review; defines success attributes for cultivated-meat media.	needs_full_text_check
R007	P2	context	review	Artificial intelligence and machine learning applications for cultured meat	2024	10.3389/frai.2024.1424012	https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1424012/full	multiple	multiple	multiple	ML for media design; microscopy; bioprocess optimization	review-level	optimization; dataset availability	Supports using ML/BO as experiment reducer, not as replacement for wet-lab validation.	needs_full_text_check
R008	P2	context	review	Serum-free media for cultured meat: insights into protein hydrolysates as proliferation enhancers	2025	10.1016/j.foodres.2025.117016	https://www.sciencedirect.com/science/article/abs/pii/S0963996925013547	multiple	myoblasts; satellite cells	expansion; differentiation	protein hydrolysates; plant; yeast; algae; fish; insect	yes, review-level source classes	proliferation; differentiation; cost	Useful for hydrolysate/extract variable class; evidence must be species-matched before first wet-lab inclusion.	needs_full_text_check
R009	P2	context	review	Fetal bovine serum: how to leave it behind in the pursuit of more reliable science	2025	10.3389/ftox.2025.1612903	https://www.frontiersin.org/journals/toxicology/articles/10.3389/ftox.2025.1612903/full	multiple	multiple	multiple	serum-free; animal-component-free; chemically defined nomenclature	review-level	reproducibility; safety; animal-origin status	Defines SF, ACF, CD distinctions used in manifest and wet-lab gate.	needs_full_text_check
R010	P2	context	review	Standardising Culture Medium Safety Testing for Cultivated Meat: Outputs from a Workshop and Case Study	2026	10.3390/foods15040783	https://www.mdpi.com/2304-8158/15/4/783	multiple	myosatellite cells; cultivated meat cells	production; harvest	medium residues; growth factor quantification; safety testing	yes, analytical methods	safety; residues; regulatory readiness	Supports residue/safety annotations before wet-lab-to-product claims.	needs_full_text_check
R011	P2	context	scoping_review	Global Insights into Cultured Meat: Uncovering Production Processes, Potential Hazards, Regulatory Frameworks, and Key Challenges	2025	10.3390/foods14010129	https://www.mdpi.com/2304-8158/14/1/129	multiple	stem cells; satellite cells	multiple	serum-free media; safety; regulation; hazards	review-level	safety; process overview	Useful broad scoping review; not enough to drive formulation choices alone.	needs_full_text_check
R012	P2	context	review	Cultured Meat: A Multidimensional Review of Technological Advances, Challenges, and Future Perspectives	2026	10.1111/1750-3841.70915	https://ift.onlinelibrary.wiley.com/doi/10.1111/1750-3841.70915	multiple	multiple	multiple	cell sources; culture media; scaffolds; bioprocessing	review-level	technology readiness; gaps	Recent broad review; supports scope-control and out-of-scope calls.	needs_full_text_check
R013	P2	context	review	Livestock cell types with myogenic differentiation potential	2024	10.1016/j.animal.2024.101242	https://www.sciencedirect.com/science/article/pii/S1751731124001733	multiple	livestock myogenic cells	differentiation	cell type selection; differentiation potential	review-level	myogenic differentiation	Supports bovine satellite/myoblast target choice and identity endpoints.	needs_full_text_check
R014	P2	context	review	A review on the safety of growth factors commonly used in cultivated meat	2024	10.1111/1541-4337.13350	https://ift.onlinelibrary.wiley.com/doi/10.1111/1541-4337.13350	multiple	multiple	production	growth factors; safety; residue concerns	review-level	safety; growth factor exposure	Use for growth-factor safety annotations; not a performance source.	needs_full_text_check
R015	P1	core	primary	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	bovine	satellite cells	expansion	Beefy-9; B8; recombinant albumin; FGF2 reduction	yes	proliferation; doubling time; Pax7; MyoD; cost	Primary anchor for bovine serum-free expansion; must be fully extracted and manually reviewed.	needs_full_text_check
R016	P1	core	primary	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	2022	10.3389/fbioe.2022.895289	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.895289/full	bovine	primary satellite cells; myoblasts	expansion	chemically defined; serum-free; animal-free; attachment and expansion	yes	proliferation; differentiation capacity	Direct bovine CD/SF/AF medium development paper; high-priority source for variable ranges.	needs_full_text_check
R017	P1	core	primary	Serum-free media for the growth of primary bovine myoblasts	2020	10.1007/s10616-019-00361-y	https://pmc.ncbi.nlm.nih.gov/articles/PMC7002633/	bovine	primary myoblasts	expansion	commercial chemically defined serum-free media	yes	proliferation by MTS; morphology	Early direct bovine myoblast SFM benchmark; useful negative/benchmark evidence.	fulltext_ingested_for_review_packet
R018	P1	core	primary	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	2022	10.1038/s43016-021-00419-1	https://www.nature.com/articles/s43016-021-00419-1	bovine	satellite cells	differentiation	chemically defined differentiation medium; IGF1R; TFRC; LPAR1 ligands	yes	myogenic gene expression; differentiation	Not expansion target, but critical guardrail for myogenic identity and later differentiation compatibility.	fulltext_ingested_for_review_packet
R019	P1	core	primary	Spent media analysis suggests cultivated meat media will require species and cell type optimization	2022	10.1038/s41538-022-00157-z	https://www.nature.com/articles/s41538-022-00157-z	multiple	bovine cells and other cultivated-meat-relevant cells	expansion	spent media; nutrient consumption; species and cell-type dependence	yes	metabolite consumption; cell growth	Directly argues against universal media; informs cell-type-specific scope and spent-media validation.	needs_full_text_check
R020	P1	core	primary	Development of serum-free and grain-derived-nutrient-free medium using microalga-derived nutrients and mammalian cell-secreted growth factors for sustainable cultured meat production	2023	10.1038/s41598-023-27629-w	https://www.nature.com/articles/s41598-023-27629-w	bovine	myoblasts	expansion	microalga-derived nutrients; conditioned medium; serum-free	yes	proliferation	Candidate source for algae/extract axis; needs caution because conditioned medium complicates composition.	needs_full_text_check
R021	P1	core	primary	A simple and robust serum-free media for the proliferation of muscle cells	2023	10.1016/j.foodres.2023.113194	https://pubmed.ncbi.nlm.nih.gov/37689947/	bovine	satellite cells	expansion	DOE/RSM serum-free medium; muscle-cell proliferation	yes	proliferation; transcriptomics; long-term performance	Direct DOE-based bovine satellite-cell SFM paper; must be fully extracted for ranges and endpoint definitions.	fulltext_ingested_for_review_packet
R022	P1	core	primary	Low-cost food-grade alternatives for serum albumins in FBS-free cell culture media	2025	10.1038/s41598-025-99603-7	https://www.nature.com/articles/s41598-025-99603-7	bovine	muscle stem cells	expansion	B8/B9 optimization; albumin alternatives; food-grade stabilizers	yes	proliferation; cost	High-value albumin-substitution source for first-round cost-reduction variables.	needs_full_text_check
R023	P1	core	primary	Influence of Media Composition on the Level of Bovine Satellite Cell Proliferation	2023	10.3390/ani13111855	https://www.mdpi.com/2076-2615/13/11/1855	bovine	satellite cells	expansion	DOE; bFGF; media composition	yes	proliferation	Direct bovine proliferation and media composition evidence; extract factor levels and interactions.	fulltext_ingested_for_review_packet
R024	P1	core	primary	Sustainable alternatives to fetal bovine serum: evaluating the role of plant and insect protein isolates in serum-free media for bovine satellite cell proliferation in cultivated meat production	2025	10.1021/acsfoodscitech.5c00023	https://pubs.acs.org/doi/abs/10.1021/acsfoodscitech.5c00023	bovine	satellite cells	expansion	plant protein isolates; insect protein isolates; serum-free medium	yes	proliferation; cost; animal-origin status	Direct bovine protein-isolate source; review for whether insect-derived inputs violate animal-component-free goal.	needs_institutional_or_human_full_text
R025	P2	defer	primary	Attachment promoting compounds significantly enhance cell proliferation of bovine satellite cells on microcarriers in serum-free media	2024	10.3389/fbioe.2024.1443914	https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2024.1443914/full	bovine	satellite cells	expansion on microcarriers	serum-free media; microcarriers; attachment compounds	yes	proliferation; attachment	Important for scale-up, but microcarrier/attachment mode is out of first 2D medium-only round.	needs_full_text_check
R026	P2	defer	primary	Bovine myoblast cell production in a microcarriers-based system	2018	10.1007/s10616-017-0101-8	https://pubmed.ncbi.nlm.nih.gov/28470539/	bovine	myoblasts	expansion on microcarriers	microcarriers; scale-up	yes	cell production; adhesion; proliferation	Process/scaffold context; defer until medium design survives 2D validation.	needs_full_text_check
R027	P2	defer	primary	Production of food-grade microcarriers based on by-products from the food industry to facilitate the expansion of bovine skeletal muscle satellite cells for cultured meat production	2022	10.1016/j.biomaterials.2022.121602	https://www.sciencedirect.com/science/article/pii/S0142961222002423	bovine	skeletal muscle satellite cells	expansion on microcarriers	food-grade microcarriers	yes	expansion; attachment	Food-grade scale-up context; out of first medium-only intervention scope.	needs_full_text_check
R028	P2	defer	primary	Process intensification of cultivated meat production through microcarrier addition strategy optimisation	2025	10.1038/s41598-025-97813-7	https://www.nature.com/articles/s41598-025-97813-7	bovine	satellite cells	expansion on microcarriers	microcarrier addition strategy	yes	process yield; proliferation	Useful later for scale-up; not a first-round medium-variable source.	needs_full_text_check
R029	P1	core_context	primary	Maintaining bovine satellite cells stemness through p38 pathway	2018	10.1038/s41598-018-28746-7	https://www.nature.com/articles/s41598-018-28746-7	bovine	satellite cells	expansion; identity maintenance	p38 pathway; stemness maintenance	yes	stemness; myogenic markers	Identity/stemness guardrail for expansion media; not a formulation source by itself.	needs_full_text_check
R030	P2	context	primary	Multi-objective Bayesian algorithm automatically discovers low-cost high-growth serum-free media for cellular agriculture application	2023	10.1002/elsc.202300005	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10390662/	mouse	C2C12	expansion	Bayesian optimization; serum-free media; cost/growth tradeoff	yes	cost; growth	Method anchor for closed-loop design; weak biological prior for bovine.	needs_full_text_check
R031	P2	context	primary	Optimization of muscle cell culture media using nonlinear design of experiments	2021	10.1002/biot.202100228	https://doi.org/10.1002/biot.202100228	mouse	C2C12	expansion	nonlinear DOE; media optimization	yes	growth	Method context for DOE/BO; not direct bovine evidence.	needs_full_text_check
R032	P2	context	primary	Toward sustainable culture media: Using artificial intelligence to optimize reduced-serum formulations for cultivated meat	2023	10.1016/j.scitotenv.2023.164988	https://www.sciencedirect.com/science/article/abs/pii/S0048969723036112	multiple	not bovine-specific	expansion	reduced-serum media; AI optimization	yes	growth; sustainability	Method and sustainability context; not sufficient for first bovine variables without direct evidence.	needs_full_text_check
R033	P2	defer	primary	Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	2023	10.1038/s43016-022-00658-w	https://www.nature.com/articles/s43016-022-00658-w	chicken	fibroblasts	expansion; production	serum-free production; immortalized chicken cells	yes	cell density; yield	Important comparator; defer because cell type/species/process differ from bovine satellite expansion.	needs_full_text_check
R034	P2	defer	primary	Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium	2024	10.1038/s43016-024-01022-w	https://www.nature.com/articles/s43016-024-01022-w	chicken	chicken cells	continuous manufacturing	animal-free medium; perfusion; process economics	yes	cost; density; yield	Shows economic potential but is chicken/perfusion/process-heavy; do not use as direct bovine wet-lab evidence.	needs_full_text_check
R035	P2	defer	primary	Engineered autocrine signaling eliminates muscle cell FGF2 dependence for cultivated meat	2024	10.1016/j.crsus.2023.100009	https://www.cell.com/cell-reports-sustainability/fulltext/S2949-7906%2823%2900009-5	bovine	immortalized bovine satellite cells	expansion	FGF2 autocrine engineering; growth factor removal	yes	proliferation; growth-factor dependence	Biologically informative for FGF2 cost pressure; genetic engineering is out of first intervention scope.	needs_full_text_check
R036	P2	defer	primary	Immortalized Bovine Satellite Cells for Cultured Meat Applications	2023	10.1021/acssynbio.3c00216	https://pubs.acs.org/doi/abs/10.1021/acssynbio.3c00216	bovine	immortalized satellite cells	expansion	cell-line engineering; bovine satellite cells	yes	growth; stability	Cell-line context only; not a first-round primary-cell medium formulation source.	needs_full_text_check
R037	P2	context	review	Potential media supplement for cell-cultured meat production	2024	10.1016/j.crfs.2024.100943	https://www.sciencedirect.com/science/article/pii/S2665927124002703	multiple	multiple	multiple	media supplements; serum markers; meat quality	additive-level review	proliferation; quality	Candidate supplement context; requires direct bovine validation before use.	needs_full_text_check
R038	P2	context	review	Systems biology and metabolic modeling for cultivated meat: A promising approach for cell culture media optimization and cost reduction	2023	10.1111/1541-4337.13193	https://www.sciencedirect.com/science/article/abs/pii/S0924224423001446	multiple	multiple	multiple	metabolic modeling; systems biology; media optimization	review-level	media optimization; cost	Supports future mechanistic layer and spent-media validation.	needs_full_text_check
R039	P2	context	review	Large-scale cultured meat production: Trends, challenges and promising biomanufacturing technologies	2022	10.1016/j.biomaterials.2021.121274	https://www.sciencedirect.com/science/article/abs/pii/S0142961221006311	multiple	multiple	scale-up	biomanufacturing; media; bioreactors	review-level	scale-up	Scale-up context; reinforces keeping first experiment medium-only.	needs_full_text_check
R040	P2	context	review	Cell Sources for Cultivated Meat: Applications and Considerations throughout the Production Workflow	2021	10.3390/ijms22147513	https://www.mdpi.com/1422-0067/22/14/7513	multiple	satellite cells; stem cells; fibroblasts	multiple	cell source selection; workflow	review-level	cell source; differentiation	Useful for why bovine satellite/myoblast is a reasonable first target.	needs_full_text_check
R041	P3	background	gray_literature	Serum-free media for cultivated meat	2025	NONE	https://gfi.org/resource/serum-free-media-for-cultivated-meat/	multiple	multiple	multiple	serum-free media; regulatory/product status	background	product approvals; media examples	Good orientation only; not peer-reviewed evidence for wet-lab design.	background_only
R042	P3	background	gray_literature	Cultivated meat media and growth factor trends	2021	NONE	https://gfi.org/resource/cultivated-meat-media-growth-factor-survey/	multiple	multiple	production	growth factor cost trends	background	cost	Industry survey context; not used as primary scientific evidence.	background_only
R043	P3	background	gray_literature	An analysis of culture medium costs and production volumes for cultivated meat	2020	NONE	https://gfi.org/wp-content/uploads/2021/01/clean-meat-production-volume-and-medium-cost.pdf	multiple	multiple	production	medium cost model; growth factors; recombinant proteins	yes, model assumptions	cost	Useful cost model; not peer-reviewed wet-lab evidence.	background_only
R044	P3	background	gray_literature	Cultivated meat cell culture media deep dive	2021	NONE	https://gfi.org/science/the-science-of-cultivated-meat/deep-dive-cultivated-meat-cell-culture-media/	multiple	multiple	multiple	medium overview; price parity; serum removal	background	cost; serum-free	Accessible overview only; not used for formulation claims.	background_only
