review_id	priority	source_record_id	evidence_topic	field_to_verify	human_question	decision_impact	suggested_action	status
H001	P1	R015	Beefy-9 expansion benchmark	proliferation_endpoint; doubling_time; passages	Does the full paper support using Beefy-9/B8 plus recombinant albumin as the positive serum-free bovine expansion anchor, and what exact doubling-time/passaging claims should be recorded?	Sets positive control and minimum performance target for first experiment.	Extract exact formulation, dose levels, passage counts, doubling times, and myogenic marker results.	open
H002	P1	R015	FGF2 reduction in Beefy-9	FGF2_dose_range; growth_effect; morphology	What FGF2 concentrations were tested, which concentrations preserved short-term and long-term growth, and where did morphology suffer?	Determines whether FGF2 can be a first-round dose variable and the lower bound to test.	Record exact tested FGF2 range and classify safe/reduced/removal levels.	open
H003	P1	R015	Albumin dose and cost tradeoff	albumin_concentration; albumin_type; cost	Which recombinant albumin concentration and source were used in Beefy-9/Beefy-9+, and how did cost/performance change?	Defines albumin/substitute axis and control formulation.	Extract albumin source, g/L or mg/mL, and cost-performance notes.	open
H004	P1	R016	Chemically defined bovine medium formulation	component_list; dose_range; animal_free_status	Which components and concentrations made the Kolkmann chemically defined medium animal-free and effective for primary bovine satellite cell expansion?	Adds direct CD/AF formulation source beyond Beefy-9.	Extract full component table, supplements, attachment conditions, and endpoint values.	open
H005	P1	R016	Differentiation capacity after expansion	myogenic_identity; differentiation_capacity	Did cells expanded in the chemically defined medium retain differentiation capacity, and what marker/assay proves it?	Controls risk that expansion medium harms downstream meat-relevant phenotype.	Record markers, assay timing, and comparison condition.	open
H006	P1	R017	Commercial SFM benchmark	negative_evidence; serum_free_status	Which commercial chemically defined serum-free media supported primary bovine myoblast growth, and how did they compare with serum-containing medium?	Prevents overclaiming that any commercial SFM is adequate.	Record media names, 6-day proliferation data, morphology notes, and limitations.	open
H007	P1	R018	Serum-free differentiation guardrail	differentiation_endpoint; ligand_list	Which ligands/receptors enabled serum-free myogenic differentiation, and are any of these also plausible expansion-stage risks or constraints?	Defines identity-preservation check and later differentiation compatibility.	Extract IGF1R/TFRC/LPAR1-related ligands, markers, and whether expansion formulation should avoid differentiation induction.	open
H008	P1	R019	Species and cell-type dependence	cell_type_specificity; spent_media_features	Which consumed nutrients/metabolites differed by species/cell type, and which findings justify avoiding cross-species transfer?	Supports bovine-only first target and in-silico robustness checks.	Extract bovine-relevant spent-media findings and any reusable assay recommendations.	open
H009	P1	R020	Microalga/conditioned medium variable	composition_disclosure; algae_extract_dose; conditioned_medium	Can the microalga-derived nutrient and conditioned-medium system be decomposed into controllable, reproducible variables for first-round testing?	Determines whether algae/extract class enters first batch or remains exploratory.	Extract CVE dose, conditioned medium fraction, growth effect, and reproducibility caveats.	open
H010	P1	R021	DOE/RSM bovine SFM formulation	DOE_factors; optimized_levels; endpoint	What factors and levels were screened by DOE/RSM, and which optimized formulation should seed the search space?	Major source for bounded search-space ranges and interaction warnings.	Extract factor list, low/high levels, optimal recipe, response metrics, and validation data.	open
H011	P1	R021	Long-term and transcriptomic validation	long_term_performance; identity_markers	Did the DOE/RSM formulation preserve proliferative attributes and myogenic identity over longer culture?	Determines whether it can be a wet-lab positive control or just a short-term screen hit.	Record long-term assay length, live assays, transcriptomics summary, and warnings.	open
H012	P1	R022	Albumin replacement candidates	albumin_substitute; food_grade; dose_range	Which low-cost food-grade alternatives to serum albumin worked in B8/B9 for bovine muscle stem cells, and at what concentration?	Defines first cost-reduction candidate class.	Extract substitute identity, dose, performance relative to albumin, and food-grade status.	open
H013	P1	R022	Stabilizer mechanism	mechanism_class; safety; reproducibility	Is the albumin substitute acting as carrier/stabilizer, nutrient, or undefined bioactive mixture?	Controls biological plausibility gate and risk labels.	Assign mechanism class and note unknown composition risk.	open
H014	P1	R023	bFGF/media composition interactions	bFGF_dose; interaction_effects; DOE_model	What media components interacted with bFGF in bovine satellite proliferation, and what were the tested levels?	Informs whether one-factor-at-a-time FGF2 reduction is unsafe.	Extract DOE design, factor levels, interaction terms, and effect direction.	open
H015	P1	R024	Plant/insect protein isolate status	animal_origin_status; protein_isolate_dose; performance	Which plant or insect protein isolates improved bovine satellite-cell proliferation, and which violate animal-component-free preference?	Determines if isolates are first-round candidates or split into ACF vs non-ACF tracks.	Extract isolate source, dose, performance, and animal-origin classification.	open
H016	P1	R024	Undefined supplement risk	composition_disclosure; batch_variability	Are the protein isolates sufficiently characterized for reproducible medium optimization?	Controls whether isolate candidates can enter first round or remain exploratory.	Record composition data, certificate/spec needs, and batch-risk notes.	open
H017	P2	R025	Attachment compounds on microcarriers	attachment_compound; medium_dependency	Do attachment-promoting compounds alter proliferation independently of microcarrier type, or are they process-coupled?	Decides if any attachment compound belongs in first 2D round.	Mark process-coupled unless evidence supports 2D medium-only relevance.	open
H018	P2	R029	Myogenic identity assay selection	identity_markers; pathway_inhibitors	Which markers and p38-related conditions best indicate bovine satellite-cell stemness preservation?	Defines low-cost identity QC for wet-lab entry packet.	Extract marker panel, assay timing, and any intervention not allowed in first medium-only round.	open
H019	P2	R030	BO design criteria from C2C12	cost_objective; growth_objective; acquisition_function	Which parts of the C2C12 multi-objective Bayesian optimization protocol transfer to bovine medium design, and which are species-specific?	Shapes in-silico validation and first-batch diversity criteria.	Extract objective definitions, batch size, fidelity assumptions, and non-transferable biology.	open
H020	P2	R031	DOE vs BO validation	design_method; replicate_plan	What nonlinear DOE practices should be adopted before trusting BO-generated candidate formulations?	Reduces trial-and-error by making first wet-lab batch statistically interpretable.	Extract replicate and factor-screening recommendations.	open
H021	P2	R032	Reduced-serum AI optimization	reduced_serum_status; sustainability_metric	Does reduced-serum optimization offer any method or metric useful for serum-free bovine design, without reintroducing serum?	Prevents scope drift back to serum-containing optimization.	Use method only; flag any serum-containing output as not first-round compliant.	open
H022	P2	R008	Hydrolysate mechanism	mechanism_class; source_class; species_transfer	Which hydrolysate mechanisms are supported for muscle cells, and which have direct bovine evidence?	Decides if hydrolysates are exploratory only or design-space candidates.	Map hydrolysate sources to direct/indirect evidence grades.	open
H023	P2	R010	Growth-factor residue/safety	growth_factor_safety; assay_method	What safety or residue testing is relevant before interpreting growth-factor-heavy formulations as food-relevant?	Adds non-performance annotations to formulation table.	Record recommended analytical methods and limitations.	open
H024	P2	R014	Growth-factor safety threshold	growth_factor_exposure; species_specificity	Are there safety concerns or species-specific detection issues for FGF2, IGF, TGF-beta, insulin, or transferrin?	Informs growth-factor risk labels and reporting language.	Extract qualitative safety notes, not as pass/fail toxicology claims.	open
H025	P2	R001	First-principles medium design	essential_components; unnecessary_additives	Which component classes should be treated as essential vs candidates for removal in bovine expansion media?	Shapes search-space pruning before wet-lab.	Extract review recommendations and map to bovine direct evidence.	open
H026	P2	R002	Omics/modeling entry point	omics_data_need; modeling_readiness	What omics or metabolic data would make serum-free medium design more rational, and what can be deferred?	Defines self-validation additions after first wet-lab round.	Record data requirements and defer advanced omics until basic medium gate passes.	open
H027	P2	R005	Cost drivers	cost_driver; recombinant_protein_burden	Which components dominate serum-free medium cost across reviews, and are those also dominant in bovine formulas?	Prioritizes cost-reduction variables and avoids optimizing cheap irrelevant components.	Compare review cost drivers with Beefy-9/Kolkmann/Skrivergaard formulas.	open
H028	P2	R006	Food-grade/animal-free requirements	food_grade; animal_component_free; sensory_risk	What media attributes are required for cultivated meat success beyond proliferation?	Adds gate checks for food-grade plausibility and sensory risk.	Translate review-level requirements into manifest columns and design packet checklist.	open
H029	P2	R033	Chicken high-density comparator	transferability; defer_reason	What, if anything, from chicken high-density serum-free culture can inform bovine medium design without transferring unsupported biology?	Records why chicken is deferred but not ignored.	Extract only process/economic lessons, not formulation priors.	open
H030	P2	R034	Animal-free continuous manufacturing comparator	process_economics; defer_reason	Which economic/process assumptions make chicken animal-free continuous manufacturing successful, and why are they outside first round?	Keeps first round focused while preserving second-phase roadmap.	Summarize transferable cost-accounting concepts and non-transferable process variables.	open
H031	P1	R045	Microbial-lysate serum replacement	lysate_identity; dose; passage_count; proliferation; myogenicity; cell_line_limit	Does VN40 support sustained serum-free iBSC expansion at a traceable dose, and which findings cannot be transferred from immortalized to primary bovine cells?	Could add a low-cost exploratory supplement class while preventing unsupported cell-line transfer.	Verify formulation, dose, passage duration, comparator, phenotype and differentiation results; mark immortalized-cell evidence as indirect for primary-cell claims.	open
H032	P1	R046	Pichia-derived recombinant albumin	albumin_species; dose_range; proliferation; Pax7; differentiation; cost	Which bovine-versus-porcine recombinant albumin doses support primary bMuSC proliferation and preserve differentiation, and are cost claims reproducible?	Could refine the albumin variable class, source constraint, positive control and cost annotation.	Extract exact formulations, albumin doses, controls, proliferation and identity endpoints, and the assumptions behind reported cost comparisons.	open
H033	P1	R047	Donor variance under serum-free culture	donor_age; donor_type; serum_free_formula; proliferation; variance; differentiation	How strongly do bull-calf and dairy-cow cells differ, is the in-house serum-free formulation disclosed, and what blocking or donor replication follows from the data?	Determines whether donor source must be blocked or replicated in the first wet-lab design.	Record donor counts, biological replicate structure, serum-free formulation availability, effect directions and variance; do not treat an undisclosed formulation as an actionable medium.	open
H034	P1	R048	Postbiotic-assisted growth-factor reduction	postbiotic_identity; composition; dose; IGF1; FGF2; FBS_comparator; proliferation; replicates; myogenicity	Does Biftek-1 at a traceable composition and dose permit lower IGF1/FGF2 use in primary bovine satellite cells, and is the FBS comparison quantitatively supported?	Could add a low-cost supplement class only if its identity, reproducibility, and cell-level effects are transferable.	Verify postbiotic preparation and dose, growth-factor concentrations, controls, biological versus technical replicates, proliferation statistics, and myogenic markers; do not promote an undisclosed mixture.	open
H035	P1	R049	Natural-product additives under reduced FBS	compound_identity; dose; FBS_level; proliferation; differentiation; cytotoxicity; replicates	Which compounds and doses reproduce 20% FBS-like Hanwoo satellite-cell proliferation in 10% FBS, without cytotoxicity or loss of differentiation?	Could define exploratory additives while preventing SPR binding measurements from being mistaken for proliferation effects.	Separate SPR binding from cell assays; record compound doses, serum levels, controls, replicate structure, proliferation variance, cytotoxicity, and differentiation outcomes.	open
H036	P1	R050	Serum and basal-medium effects under oxygen context	FBS_level; basal_medium; oxygen_level; proliferation; apoptosis; differentiation; factorial_interaction; replicates	Which effects are attributable to FBS level or DMEM/F12 versus F10, and which depend on non-actionable oxygen conditions?	Could refine serum and basal-medium controls while keeping the optimization search space medium-centered.	Extract factorial conditions, cell counts and variance, replicate structure, apoptosis and differentiation outcomes; keep oxygen as a blocked contextual factor, not a proposed medium variable.	open
H037	P1	R051	Insulin under reduced-serum bovine culture	insulin_source; dose; FBS_level; comparator; proliferation; Ki67; PCNA; differentiation; replicates	At which insulin doses and FBS levels are bovine muscle satellite-cell proliferation and differentiation supported, with what variance and biological replication?	Could promote insulin into the first-round variable set and define a reduced-serum comparator if the quantitative evidence is traceable.	Record insulin source and dose, serum conditions, controls, proliferation and identity endpoints, group n and variance; keep expansion and differentiation effects separate.	open
H038	P1	R052	Drone-pupae extract in Hanwoo satellite-cell culture	extract_preparation; composition; animal_origin; dose; FBS_level; bFGF; proliferation; differentiation; replicates	Does dose-defined drone-pupae extract improve primary Hanwoo satellite-cell expansion, and which effects remain dependent on 20% FBS, bFGF, collagen coating, or undefined composition?	Could retain an insect-derived exploratory supplement only if composition, dose, safety, and serum-context transfer are explicit.	Verify extract preparation and composition, exact doses, controls, biological replication, proliferation variance, myogenic retention, animal-origin status, and high-serum limitations.	open
H039	P1	R053	L-ascorbic acid dose response in bovine satellite cells	dose; duration; FBS_level; viability; EdU; proliferation; myogenicity; toxicity; replicates	Which L-ascorbic acid doses and durations improve Yanbian-cattle satellite-cell proliferation without the high-dose viability loss, and are effects transferable beyond 10% FBS?	Could define a low-cost stress-protection/nutrient variable with a bounded dose range.	Record all dose/time groups, serum and basal medium, controls, group n and variance, EdU and viability effects, differentiation retention, and the toxicity boundary.	open
H040	P1	R054	Glucose and lysine under PLAG1 genotype context	glucose; lysine; genotype; FBS_level; cell_count; viability; gene_expression; interaction; replicates	Which glucose/lysine effects are supported by cell number or viability rather than gene expression alone, and how strongly do they interact with PLAG1 genotype?	Could refine nutrient bounds while preventing genotype-specific marker shifts from being treated as general proliferation gains.	Extract factorial levels, animal and replicate structure, serum conditions, cell-count variance, viability, marker outcomes, genotype interactions, and expansion-versus-differentiation timing.	open
H041	P1	R055	Ecklonia crude-polysaccharide fractions in Hanwoo cells	fraction_identity; composition; dose; FBS_level; bFGF; proliferation; cytotoxicity; differentiation; replicates	Does a chemically traceable E. cava fraction improve primary Hanwoo satellite-cell proliferation at a non-cytotoxic dose, and can evidence transfer from 20% FBS plus bFGF?	Could retain a secondary hydrolysate/extract axis only with reproducible fraction identity and a safe dose bound.	Verify hydrolysis and fraction preparation, composition, all doses and controls, biological replication, proliferation variance, cytotoxicity, migration, differentiation, and serum/growth-factor dependence.	open
H042	P1	R056	Conditioned serum-free medium and nutrient deconvolution	conditioner_cell_sources; medium_composition; nutrient_doses; surface_context; adhesion; proliferation; Ki67; Desmin; passages; replicates; safety	Which disclosed nutrients reproduce the conditioned-medium adhesion/proliferation effect in primary bovine myogenic cells, and what prevents use of the human/mouse cell-derived supernatant itself?	Could identify defined nutrient candidates while excluding an unsafe or irreproducible conditioned mixture from the first wet-lab search space.	Separate conditioned-medium effects from individual nutrient tests; record source cells, composition, doses, controls, surface context, biological replication, passage stability, adhesion/proliferation variance, myogenic markers, and food-safety constraints.	open
