record_id	paper_id	doi	pmcid	expected_license
R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	10.1038/s42003-022-03423-8	PMC9163123	CC-BY-4.0
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	10.3389/fbioe.2022.895289	PMC9385969	CC-BY-4.0
R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	10.1007/s10616-019-00361-y	PMC7002633	CC-BY-4.0
R019	spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel	10.1038/s41538-022-00157-z	PMC9523075	CC-BY-4.0
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	10.1038/s41598-023-27629-w	PMC9832167	CC-BY-4.0
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	10.1038/s41598-025-99603-7	PMC12045953	CC-BY-4.0
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	10.3390/ani13111855	PMC10251972	CC-BY-4.0
R029	the-role-of-insulin-in-the-proliferation-and-differentiation-of-bovine-muscle-sa	10.1038/s41598-018-28746-7	PMC6050236	CC-BY-4.0
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant	10.1016/j.isci.2025.113242	PMC12362010	CC-BY-NC-ND-4.0
