record_id	doi	pdf_path	pdf_sha256	pdf_page	candidate_class	caption_block_indexes	caption_block_sha256	caption_bboxes	source_kind	image_index	image_ext	image_width	image_height	image_bytes	image_color_count	image_sha256	image_rects	local_asset_path	jats_figure_id	jats_figure_label	jats_graphic_hrefs	status
R016	10.3389/fbioe.2022.895289	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov.pdf	4d2d8aee7a7ab69d7504f3bd67f743cdb1e8a35825e22244699bd4033b2e7c04	12	broad_visual_candidate	1	82202629fa158eb60ecba1c96845e5eaf59561ed755d3e2a5dfad71cefc75a07	51.307,200.721,537.908,226.690	embedded_pdf_image	0	jpeg	1350	498	263660	22942	e4a2e714a98b2b123f6b3525a35ac06751d984c69f05b35d72ede3f9aa99a449	135.666,67.749,459.666,187.257	data/visual_assets/bovine-baseline-v1/R016/p012_i00.jpeg	F8	FIGURE 8	fbioe-10-895289-g008.jpg	ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	6	strict_group_stats_visual_candidate	2	af66ddec4fc6942f3fc5262407f3378fc4f61d35bf3e41ed86c3cd0f451fed18	37.587,440.599,559.780,528.805	embedded_pdf_image	0	png	1890	1577	372296	13719	80156f11eace91d6ddebc0a769eb16a7ce443f9cf13dc5fa061262817a5947ff	70.866,55.408,524.466,433.984	data/visual_assets/bovine-baseline-v1/R021/p006_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	7	strict_group_stats_visual_candidate	2	aa6852db9836052d9ec1581713373a6a473efc6f59902879be6b95e33bb1df76	37.587,413.387,559.789,482.487	embedded_pdf_image	0	png	1949	1464	699342	68420	8d3f2c852ec248151fda97377dfb42348f96e0649275e0830e2c6b054072fe6c	63.779,55.412,531.492,406.772	data/visual_assets/bovine-baseline-v1/R021/p007_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	8	strict_group_stats_visual_candidate	2	8347efe8360bb4d104d4acec397da7c9cc4f170d9c23e67955ccd682d9eee0f2	37.587,435.837,559.787,524.043	embedded_pdf_image	0	png	2067	1558	543261	31601	bdd9797a4d0abc118f45ed9532d47c03d8483e810d31b40afcdd215d7fdab5ff	49.606,55.398,545.686,429.222	data/visual_assets/bovine-baseline-v1/R021/p008_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	9	strict_group_stats_visual_candidate	2	c9b43c3e581edf3e83dab1042287e35f07debd90984a98ef6c10fb01aa949ddd	37.587,461.746,559.795,550.008	embedded_pdf_image	0	png	1890	1666	479648	20398	3ee94c030d257d2ba8b5e4ba8a538cb2f27270afe552504c3befbdfd4054313a	70.866,55.444,524.466,455.188	data/visual_assets/bovine-baseline-v1/R021/p009_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	10	strict_group_stats_visual_candidate	10	c79b9ecae57b325a823f5a71b87b3df9166647fb80873a3251dd54ba0ada220e	37.587,694.584,559.787,744.522	embedded_pdf_image	0	png	2079	901	202889	4391	623a5f060af8adb4a9ef1f95146588e89c573f35d9c451efbe7c6f31fdf9f09e	48.132,471.681,547.092,687.969	data/visual_assets/bovine-baseline-v1/R021/p010_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	11	strict_group_stats_visual_candidate	2	03b5c345b3c8c945d395b9d378124065367befe4fc49a815b0ed64d7b475d807	37.587,543.270,559.789,621.951	embedded_pdf_image	0	png	2102	2005	915446	46014	3f0f1098ef3889b2dc7e760b3f5d11eeb460a6d280757d1fb511c8c1f16b2291	45.354,55.407,549.930,536.655	data/visual_assets/bovine-baseline-v1/R021/p011_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	12	broad_visual_candidate	2	b34a041260eb11642575297f3dbfaf8e23e8465f8518dcdfe8b99716d8ab4c44	37.587,355.503,559.785,453.290	embedded_pdf_image	0	png	2067	1223	612993	23136	297efd01142c1a8e9e167072993153022bc7f7e44f9a8c67d1c7a287ee555806	49.606,55.416,545.686,348.888	data/visual_assets/bovine-baseline-v1/R021/p012_i00.png				ready_for_visual_review
R021	10.1016/j.foodres.2023.113194	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	13	broad_visual_candidate	2	bc7cbee745ea0d48b2dd2ddf8e8829b86732d11fb9be36e71c763346b403eed2	37.587,51.300,291.030,148.008	embedded_pdf_image	0	png	2102	1177	295555	9165	9cdc6c42fe3348267cb8f4adef2ae7131990e4253fe2031382e112085deddff8	45.354,415.109,549.930,697.493	data/visual_assets/bovine-baseline-v1/R021/p013_i00.png				ready_for_visual_review
R022	10.1038/s41598-025-99603-7	data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med.pdf	cff8bbad90f958f6a0a311c5692c482cd3e8420462d2502bd949fc64869719f4	6	broad_visual_candidate	4	1d33232d145e017905eef54c4a386dac705dbbcd896c816045d13e3f0f113180	155.906,660.796,550.750,733.252	embedded_pdf_image	0	png	2008	1823	1153457	108276	4e9334060a6c8b93778b253b4bab7d08b5d92f689d2ef2ed85f8632bfc84a1cc	72.252,213.948,554.173,651.469	data/visual_assets/bovine-baseline-v1/R022/p006_i00.png	Fig4	Fig. 4	41598_2025_99603_Fig4_HTML.jpg;41598_2025_99603_Fig4_HTML.gif	ready_for_visual_review
R022	10.1038/s41598-025-99603-7	data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med.pdf	cff8bbad90f958f6a0a311c5692c482cd3e8420462d2502bd949fc64869719f4	8	broad_visual_candidate	3	d1f97c12698a61049e3566407930eac22cfcf542ac1c15bc7124ccfb326dedc8	155.906,600.796,550.460,733.252	embedded_pdf_image	0	png	2008	1954	2594368	53197	f42e7660bd3502fd77dbfeed3e616dcbfc13bdefff1dd68d3d09c8ea059e3428	72.252,122.508,554.173,591.469	data/visual_assets/bovine-baseline-v1/R022/p008_i00.png	Fig6	Fig. 6	41598_2025_99603_Fig6_HTML.jpg;41598_2025_99603_Fig6_HTML.gif	ready_for_visual_review
R022	10.1038/s41598-025-99603-7	data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med.pdf	cff8bbad90f958f6a0a311c5692c482cd3e8420462d2502bd949fc64869719f4	11	broad_visual_candidate	2	484861cff7f4ebb1a994fb8f759a684b867ad59c13ef3be0fba745071dc9a987	155.906,251.106,556.195,283.562	embedded_pdf_image	0	png	969	797	74093	256	b3c05619aabb422dcb6ffe217869dbae51978cc9d4641bb87255dc695f467a2a	155.905,50.499,388.466,241.779	data/visual_assets/bovine-baseline-v1/R022/p011_i00.png	Fig8	Fig. 8	41598_2025_99603_Fig8_HTML.jpg;41598_2025_99603_Fig8_HTML.gif	ready_for_visual_review
